PRELIMS,,,,
,Syllabus for GS Paper (Prelims Paper I) ,,,
,,,,
,1,Current events of national and international importance. ,,
,2,History of India and Indian National Movement. ,,
,3,"Indian and World Geography-Physical, Social, Economic Geography of India and the World. ",,
,4,"Indian Polity and Governance – Constitution, Political System, Panchayati Raj, Public Policy, Rights Issues, etc. ",,
,5,"Economic and Social Development – Sustainable Development, Poverty, Inclusion, Demographics, Social Sector initiatives, etc. ",,
,6,"General issues on Environmental Ecology, Biodiversity and Climate Change – that do not require subject specialization. ",,
,7,General Science ,,
,,,,
,,,,
,Syllabus for CSAT Paper (Prelims Paper II) ,,,
,1,Comprehension ,,
,2,Interpersonal skills including communication skills ,,
,3,Logical reasoning and analytical ability ,,
,4,Decision-making and problem solving ,,
,5,General mental ability ,,
,6,"Basic numeracy (numbers and their relations, orders of magnitude, etc.) (Class X level), ",,
,7,"Data interpretation (charts, graphs, tables, data sufficiency etc. – Class X level) ",,
,,,,
,,,,
MAINS,,,,
,,,Marks,
,Language-I,Telugu,300,
,Language-II,English,300,
,Paper-I,Essay (can be written in the medium of the candidate’s choice),250,
,Paper-II,"General Studies – I (Indian Heritage & Culture, History & Geography of the World & Society)",250,
,Paper-III,"General Studies – II (Governance, Constitution, Polity, Social Justice & International Relations)",250,
,Paper-IV,"General Studies – III (Technology, Economic Development, Biodiversity, Security & Disaster Management)",250,
,Paper-V,"General Studies – IV (Ethics, Integrity & Aptitude)",250,
,Paper-VI,Optional Subject – Paper I,250,
,Paper-VII,Optional Subject – Paper II,,
,,,,
,,,,
